[2026-05-19 22:32:35] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:32:40] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:32:45] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:32:51] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:32:56] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:01] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:06] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:11] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:16] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:22] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:27] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:32] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:37] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:42] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:47] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:53] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:33:58] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:03] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:08] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:13] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:18] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:24] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:29] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:34] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:39] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:44] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:49] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:34:55] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
[2026-05-19 22:35:00] PRICE=0.00233700 | MC=2337082 | LIQ=110590 | B1h=17 S1h=6 | B6h=18 S6h=6
